algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,prior_std,tau_scale
NUTS,500,3.347074031829834,7578.156367084292,2264.1137587689805,1.0001787500778785,0.0,,123,funnel,noncentred,,
RWM,30,2.370933771133423,4.329297088315714,1.8259881996813845,8.462051088316775,,0.0006666666666666666,18,logistic_regression,,0.1,
HMC,30,2.130042314529419,457.1267836494735,214.60925002819232,1.0437198371913807,0.0,,18,logistic_regression,,0.1,
NUTS,30,2.850576162338257,10450.351176641427,3666.0487499724486,1.0003749425898294,0.0,,18,logistic_regression,,0.1,
RWM,30,1.9051322937011719,4.842697443680063,2.54192187056573,5.882077903410332,,0.0005833333333333334,42,logistic_regression,,0.1,
HMC,30,2.257615804672241,306.55204080101515,135.78574360021372,1.0521442428174923,0.0,,42,logistic_regression,,0.1,
NUTS,30,2.91225266456604,9448.204842505564,3244.294342130324,1.000477662567437,0.0,,42,logistic_regression,,0.1,
RWM,30,2.0622811317443848,5.041298201803347,2.4445252027977165,3.8330943773756294,,0.00075,123,logistic_regression,,0.1,
HMC,30,2.270644426345825,335.26072193358374,147.65003187800863,1.033312481323765,0.0,,123,logistic_regression,,0.1,
NUTS,30,2.968378782272339,9753.895682220522,3285.933635044301,1.0004230781685477,0.0,,123,logistic_regression,,0.1,
RWM,30,1.8170852661132812,7.797535979115797,4.291232846653703,1.5986071768211565,,0.016833333333333336,18,logistic_regression,,1.0,
HMC,30,2.268447160720825,2278.8165806798816,1004.5711534033534,1.006092416318865,0.0,,18,logistic_regression,,1.0,
NUTS,30,2.903759479522705,11215.631969403126,3862.45212404667,1.0004790347796062,0.0,,18,logistic_regression,,1.0,
RWM,30,1.9462625980377197,7.868805018810164,4.043033569439052,1.6653251996265686,,0.02175,42,logistic_regression,,1.0,
HMC,30,2.420778274536133,2269.8696902826277,937.6611291331826,1.0026255780275564,0.0,,42,logistic_regression,,1.0,
NUTS,30,2.860478162765503,12572.72744716983,4395.3236947680625,1.0005326644750208,0.0,,42,logistic_regression,,1.0,
RWM,30,1.7983057498931885,8.959268378539795,4.982060686327637,1.56823190121566,,0.019833333333333335,123,logistic_regression,,1.0,
HMC,30,2.2474281787872314,1693.8720742859273,753.6935285736174,1.0056666669358054,0.0,,123,logistic_regression,,1.0,
NUTS,30,2.757131576538086,10037.52425644072,3640.567734182658,1.0005818179453152,0.0,,123,logistic_regression,,1.0,
RWM,30,1.8084404468536377,7.757066224266476,4.2893678018329995,1.8322880895561833,,0.06758333333333333,18,logistic_regression,,10.0,
HMC,30,2.125836133956909,7928.308290654304,3729.501142638406,1.0011222612698922,0.0,,18,logistic_regression,,10.0,
NUTS,30,2.8414690494537354,6341.308961208149,2231.7008740345946,1.000486235112789,0.0,,18,logistic_regression,,10.0,
RWM,30,1.9667515754699707,6.0636705501397365,3.0830892044363942,1.932350737572093,,0.07683333333333334,42,logistic_regression,,10.0,
HMC,30,2.188744068145752,7073.475941137631,3231.751050331846,1.0007790915638295,0.0,,42,logistic_regression,,10.0,
NUTS,30,3.064035177230835,6320.021889343525,2062.6466485464225,1.000495220569505,0.0,,42,logistic_regression,,10.0,
RWM,30,1.8393833637237549,6.118756864605118,3.326526152883078,1.9807658043999083,,0.07533333333333334,123,logistic_regression,,10.0,
HMC,30,2.1793856620788574,7570.968697654376,3473.900388255575,1.0008737679645203,0.0,,123,logistic_regression,,10.0,
NUTS,30,3.2799324989318848,6218.11830511822,1895.8067908846172,1.0004921298827334,0.0,,123,logistic_regression,,10.0,
HMC,10,4.230207920074463,4851.741035405896,1146.9273206127637,1.0057075789848549,421.0,,18,eight_schools,centred,,1.0
NUTS,10,3.570897102355957,421.8407227017909,118.13298188387301,1.0211196396286637,566.0,,18,eight_schools,centred,,1.0
HMC,10,2.751427412033081,43.526054674459814,15.81944502119269,1.3466427729729946,1380.0,,42,eight_schools,centred,,1.0
NUTS,10,3.5710880756378174,330.9270109793466,92.66839797006158,1.006602772099388,442.0,,42,eight_schools,centred,,1.0
HMC,10,3.214782476425171,8510.526740892452,2647.3102934031585,1.003258889750167,484.0,,123,eight_schools,centred,,1.0
NUTS,10,3.724290370941162,192.29869237384005,51.63364647242702,1.022282814642969,765.0,,123,eight_schools,centred,,1.0
HMC,10,2.8780899047851562,914.6346540151729,317.7922456468394,1.0191618090572756,381.0,,18,eight_schools,centred,,10.0
NUTS,10,3.5666048526763916,992.3321452972366,278.22878796135416,1.0127658006057167,509.0,,18,eight_schools,centred,,10.0
HMC,10,2.8983705043792725,3560.987766759534,1228.6171700198731,1.0054172949585465,422.0,,42,eight_schools,centred,,10.0
NUTS,10,3.88960599899292,1774.5371462325354,456.2254240383193,1.0046088025691624,236.0,,42,eight_schools,centred,,10.0
HMC,10,2.8492376804351807,2315.20585415391,812.5702780261895,1.1007761448076636,747.0,,123,eight_schools,centred,,10.0
NUTS,10,3.67536997795105,1828.6303642354317,497.536404553987,1.003352127816611,246.0,,123,eight_schools,centred,,10.0
HMC,10,3.162368059158325,3785.033885476079,1196.8985945562195,1.0039626007058686,190.0,,18,eight_schools,centred,,100.0
NUTS,10,3.7948944568634033,2171.8823228263227,572.3169240973964,1.0017810027011045,173.0,,18,eight_schools,centred,,100.0
HMC,10,2.9647488594055176,3664.930081171117,1236.1688139433159,1.0050942756934078,186.0,,42,eight_schools,centred,,100.0
NUTS,10,3.668682098388672,1781.174514580182,485.508001732419,1.0036873302912093,139.0,,42,eight_schools,centred,,100.0
HMC,10,2.8679685592651367,3125.4907825132573,1089.7925545299931,1.005029399540367,365.0,,123,eight_schools,centred,,100.0
NUTS,10,3.764478921890259,2135.4032641530766,567.2506895272576,1.0040557146568918,250.0,,123,eight_schools,centred,,100.0
HMC,10,3.069430351257324,245.88678441197098,80.10827947643409,1.0453859347491226,0.0,,18,eight_schools,noncentred,,1.0
