algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,prior_std,tau_scale
RWM,5,1.6134874820709229,504.77605098913637,312.8478259659335,1.0094893566584036,,0.28833333333333333,18,funnel,noncentred,,
HMC,5,2.3822104930877686,435.24124066644094,182.7047785782737,1.010247608605402,0.0,,18,funnel,noncentred,,
NUTS,5,3.197902202606201,7506.312233478868,2347.2613475676126,1.0000169610747338,0.0,,18,funnel,noncentred,,
RWM,10,1.3603427410125732,268.11906586270555,197.0967005441075,1.0154849489321616,,0.2638333333333333,18,funnel,noncentred,,
HMC,10,2.2205820083618164,310.8488826135368,139.985319813907,1.0342329251225941,0.0,,18,funnel,noncentred,,
NUTS,10,2.859065294265747,7951.766688150169,2781.2469705041512,1.0002311883330646,0.0,,18,funnel,noncentred,,
RWM,30,1.7040002346038818,92.99975618503734,54.57731419072041,1.0463140135924398,,0.23858333333333334,18,funnel,noncentred,,
HMC,30,2.2338600158691406,326.84964903289506,146.3160836896603,1.0577190697921381,0.0,,18,funnel,noncentred,,
NUTS,30,2.946892738342285,8129.090457729917,2758.529467992368,1.0002433820518934,0.0,,18,funnel,noncentred,,
RWM,100,1.6706197261810303,25.310844689848064,15.150572145887228,1.1625689727426507,,0.2425,18,funnel,noncentred,,
HMC,100,3.478128433227539,391.5630324832049,112.57865832166895,1.0592609445170162,0.0,,18,funnel,noncentred,,
NUTS,100,3.0474178791046143,6730.064545996113,2208.4482053290067,1.0005786639693999,0.0,,18,funnel,noncentred,,
RWM,200,1.4487888813018799,14.365312646409595,9.915394045197905,1.2964429027684519,,0.2235833333333333,18,funnel,noncentred,,
