algorithm,dimension,runtime,ess,ess_per_sec,acceptance_rate,experiment,condition_number
RWM,2,0.30262207984924316,244.37211633522773,807.5158179369009,0.512,ill_conditioned,10
HMC,2,0.6706070899963379,59.91916221771518,89.35062439921772,,ill_conditioned,10
NUTS,2,0.9193127155303955,1674.3184737175593,1821.27196266568,,ill_conditioned,10
RWM,10,0.33228492736816406,43.63898143026909,131.33000577518854,0.5396666666666666,ill_conditioned,10
HMC,10,0.6345791816711426,1107.2753544457921,1744.897069471804,,ill_conditioned,10
NUTS,10,1.0114235877990723,3903.9963974331527,3859.9024627540266,,ill_conditioned,10
RWM,50,0.4434242248535156,13.599234804492971,30.668678079068535,0.553,ill_conditioned,10
HMC,50,1.1570723056793213,359.0250434633859,310.28747443108233,,ill_conditioned,10
NUTS,50,1.2544167041778564,3212.5180798982246,2560.9656417989954,,ill_conditioned,10
RWM,100,0.4003181457519531,7.159054833397347,17.88341325360073,0.5456666666666666,ill_conditioned,10
HMC,100,0.6882143020629883,1264.3774634134402,1837.1856842023592,,ill_conditioned,10
NUTS,100,0.9699430465698242,2976.0165578641663,3068.2384583185203,,ill_conditioned,10
RWM,200,0.40494608879089355,6.230682451144762,15.386449267231145,0.5496666666666666,ill_conditioned,10
HMC,200,0.6711728572845459,757.9424851198604,1129.280597231494,,ill_conditioned,10
NUTS,200,0.983208179473877,4468.739848184447,4545.059674519497,,ill_conditioned,10
RWM,500,0.41478896141052246,4.765773132263682,11.48963346579257,0.5506666666666666,ill_conditioned,10
HMC,500,0.7119543552398682,882.8913658067628,1240.0954630150459,,ill_conditioned,10
NUTS,500,1.0606052875518799,5658.327084492188,5334.9979968069965,,ill_conditioned,10
RWM,1000,0.5175626277923584,4.606674037379829,8.90070841673674,0.5493333333333333,ill_conditioned,10
HMC,1000,0.7125091552734375,908.0981384162533,1274.5073262500819,,ill_conditioned,10
NUTS,1000,0.9730861186981201,4285.727966421237,4404.26379954434,,ill_conditioned,10
RWM,2000,0.6407938003540039,4.598326440428743,7.175984595806665,0.539,ill_conditioned,10
HMC,2000,0.7777965068817139,909.6187669148608,1169.4816817340043,,ill_conditioned,10
NUTS,2000,1.0260956287384033,2007.307701584999,1956.2579211579018,,ill_conditioned,10
RWM,2,0.26262664794921875,204.60001195667715,779.052748661813,0.5503333333333333,ill_conditioned,100
HMC,2,0.665196418762207,910.3702685751372,1368.5736166005643,,ill_conditioned,100
NUTS,2,0.9331002235412598,1815.3967972579435,1945.553919565287,,ill_conditioned,100
RWM,10,0.3030266761779785,22.979836983119874,75.83436967649338,0.7063333333333334,ill_conditioned,100
HMC,10,0.6910626888275146,592.8958556658305,857.9480056603287,,ill_conditioned,100
NUTS,10,0.9881184101104736,3753.397956226442,3798.530538264948,,ill_conditioned,100
RWM,50,0.34119558334350586,6.901102475394835,20.22623624775062,0.7776666666666666,ill_conditioned,100
HMC,50,1.0079450607299805,1554.0182503479382,1541.7688035719696,,ill_conditioned,100
NUTS,50,1.680257797241211,3577.517605280173,2129.1480457070597,,ill_conditioned,100
RWM,100,0.33397650718688965,5.268272823178242,15.774381460400665,0.7983333333333333,ill_conditioned,100
HMC,100,0.6891818046569824,1305.3271456359719,1894.0243877820535,,ill_conditioned,100
NUTS,100,1.0478119850158691,2389.9459764521625,2280.8920022192406,,ill_conditioned,100
RWM,200,0.30550265312194824,4.751339770692769,15.552531940847548,0.8126666666666666,ill_conditioned,100
HMC,200,0.6540324687957764,941.2996691438899,1439.2246777549717,,ill_conditioned,100
NUTS,200,0.9821999073028564,4848.050279431448,4935.9099337978005,,ill_conditioned,100
RWM,500,0.3062586784362793,4.300877311762642,14.043283062940175,0.8143333333333334,ill_conditioned,100
HMC,500,0.6428396701812744,798.0261068990084,1241.407685175952,,ill_conditioned,100
NUTS,500,0.9525532722473145,4589.471687910629,4818.073510033621,,ill_conditioned,100
RWM,1000,0.32422661781311035,4.4564888026409335,13.74498131183581,0.842,ill_conditioned,100
HMC,1000,0.8689827919006348,784.6523497053247,902.954991765875,,ill_conditioned,100
NUTS,1000,0.9378683567047119,2869.1562191299645,3059.231286159406,,ill_conditioned,100
RWM,2000,0.47301197052001953,4.162279887307504,8.799523366674165,0.847,ill_conditioned,100
HMC,2000,0.7636499404907227,836.5179347954532,1095.4206769896498,,ill_conditioned,100
NUTS,2000,1.0248939990997314,2865.3945447237193,2795.7960015774183,,ill_conditioned,100
RWM,2,0.24299931526184082,205.89660489118936,847.3135188439855,0.5513333333333333,ill_conditioned,1000
HMC,2,0.6755645275115967,6.419414594911167,9.502296721464512,,ill_conditioned,1000
NUTS,2,0.9598915576934814,1790.0528352193678,1864.8490247384577,,ill_conditioned,1000
RWM,10,0.29024386405944824,20.19876236116698,69.59238372401849,0.7523333333333333,ill_conditioned,1000
HMC,10,0.6428241729736328,892.3329436047443,1388.1446608905694,,ill_conditioned,1000
NUTS,10,1.0150494575500488,3910.7788152653093,3852.7963205896117,,ill_conditioned,1000
RWM,50,0.32473301887512207,6.040317469751398,18.600872466480645,0.8803333333333333,ill_conditioned,1000
HMC,50,0.9885461330413818,742.2106420472003,750.8103236049282,,ill_conditioned,1000
NUTS,50,1.3844470977783203,3255.8956550797448,2351.766030139119,,ill_conditioned,1000
RWM,100,0.329373836517334,4.8580740194898215,14.749422937951403,0.9083333333333333,ill_conditioned,1000
HMC,100,0.6874372959136963,1060.6840131802132,1542.9538366410889,,ill_conditioned,1000
NUTS,100,1.0513534545898438,2354.1056065534895,2239.1191052602553,,ill_conditioned,1000
RWM,200,0.3460559844970703,4.2938987118335925,12.408104191794274,0.9243333333333333,ill_conditioned,1000
HMC,200,0.9277279376983643,879.7588939830198,948.2940614741508,,ill_conditioned,1000
NUTS,200,1.0411534309387207,4957.86226599217,4761.893990515962,,ill_conditioned,1000
RWM,500,0.35726451873779297,4.273491291342478,11.961700832874815,0.939,ill_conditioned,1000
HMC,500,0.6985678672790527,1168.7370391701866,1673.047235514081,,ill_conditioned,1000
NUTS,500,1.0798819065093994,5180.857701274264,4797.615063318194,,ill_conditioned,1000
RWM,1000,0.37161874771118164,4.119721709665668,11.085882332469065,0.944,ill_conditioned,1000
HMC,1000,0.814584493637085,794.8951972956504,975.8290312481611,,ill_conditioned,1000
NUTS,1000,1.0720248222351074,3030.9543468251118,2827.3173194868323,,ill_conditioned,1000
RWM,2000,0.517324686050415,4.025299395521164,7.780992293742744,0.941,ill_conditioned,1000
HMC,2000,0.7310619354248047,762.8669259273239,1043.505192872664,,ill_conditioned,1000
NUTS,2000,1.1422030925750732,2106.4099342653953,1844.1640965237957,,ill_conditioned,1000
