algorithm,dimension,runtime,ess,ess_per_sec,acceptance_rate
RWM,2,2.713688850402832,46.71087850229755,17.21305613035318,0.8296666666666667
HMC,2,2.7888343334198,175.69133817257804,62.99812651730268,
NUTS,2,1.0639541149139404,1604.5185673501678,1508.0712080144094,
RWM,10,2.4214179515838623,11.77021507444173,4.860877101676218,0.7963333333333333
HMC,10,2.0151681900024414,346.9438658691768,172.16620805668657,
NUTS,10,0.9051196575164795,3719.9159104711007,4109.860922342605,
RWM,50,2.3902525901794434,5.588084292898847,2.3378635027352206,0.7986666666666666
HMC,50,2.9262115955352783,1032.8174974396816,352.95379835672924,
NUTS,50,1.2405967712402344,3849.308642278198,3102.7878933055854,
RWM,100,2.4020328521728516,4.542483316390473,1.8910995793756085,0.8016666666666666
HMC,100,2.7531354427337646,916.4525228985319,332.8759307201129,
NUTS,100,0.9857757091522217,2583.813117867948,2621.0963547580786,
RWM,200,2.3686091899871826,4.674805484351689,1.9736499816489295,0.816
HMC,200,4.0561347007751465,1324.4454501175944,326.52896114729293,
NUTS,200,1.0684070587158203,2287.152470651751,2140.712616969052,
RWM,500,2.402594804763794,4.384655833890394,1.8249668338567233,0.8406666666666667
HMC,500,18.565946102142334,1017.2116244949964,54.78910791288033,
NUTS,500,0.9277451038360596,5627.1019701567,6065.3534541865465,
